City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Tasiilaq,GL,2021-04-30 19:16:46,65.6145,-37.6368,32.0,86,20,9.22
98,Touros,BR,2021-04-30 19:19:04,-5.1989,-35.4608,80.6,78,75,5.75
99,Hervey Bay,AU,2021-04-30 19:16:52,-25.2986,152.8535,64.99,94,100,5.01
100,Lavrentiya,RU,2021-04-30 19:20:39,65.5833,-171.0,19.63,82,45,3.98
101,Mecca,SA,2021-04-30 19:20:39,21.4267,39.8261,85.87,51,95,3.76
102,Namibe,AO,2021-04-30 19:20:39,-15.1961,12.1522,75.02,78,7,6.73
103,Kutum,SD,2021-04-30 19:20:40,14.2,24.6667,83.86,13,57,8.63
104,Yanam,IN,2021-04-30 19:20:40,16.7333,82.2167,77.5,81,2,3.49
105,Sembakung,ID,2021-04-30 19:20:41,3.8167,117.25,78.8,94,40,1.43
106,San Quintin,MX,2021-04-30 19:20:41,30.4833,-115.95,76.28,43,0,13.53
107,Souillac,MU,2021-04-30 19:18:43,-20.5167,57.5167,77.0,83,20,11.5
108,Thompson,CA,2021-04-30 19:17:57,55.7435,-97.8558,42.8,33,90,6.91
109,Lata,PT,2021-04-30 19:15:45,40.1629,-8.3327,60.01,69,2,4.0
110,Sangar,RU,2021-04-30 19:20:41,63.9242,127.4739,24.75,94,100,1.86
111,Cidreira,BR,2021-04-30 19:17:25,-30.1811,-50.2056,70.5,66,0,14.47
112,Aklavik,CA,2021-04-30 19:20:42,68.2191,-135.0107,28.4,80,100,8.05
113,Segou,ML,2021-04-30 19:20:42,13.4317,-6.2157,100.26,18,90,1.3
114,Hobart,AU,2021-04-30 19:14:15,-42.8794,147.3294,48.99,87,14,9.22
115,Nelson Bay,AU,2021-04-30 19:20:43,-32.7167,152.15,61.0,100,40,6.44
116,Jaisalmer,IN,2021-04-30 19:16:05,26.9147,70.9181,86.79,32,1,15.86
117,Pavlodar,KZ,2021-04-30 19:20:43,52.3,76.95,44.6,49,0,6.71
118,Mogadishu,SO,2021-04-30 19:18:12,2.0371,45.3438,82.63,73,100,12.95
119,San Cristobal,VE,2021-04-30 19:17:24,7.7669,-72.225,71.6,100,75,12.66
120,Komsomolskiy,UZ,2021-04-30 19:20:43,40.4272,71.7189,75.2,29,100,2.3
121,Vila,PT,2021-04-30 19:20:44,42.0304,-8.1588,52.0,67,54,7.0
122,Margate,GB,2021-04-30 19:17:59,51.3813,1.3862,46.99,61,27,1.01
123,Matara,LK,2021-04-30 19:16:38,5.9485,80.5353,77.77,88,100,3.0
124,Palmer,US,2021-04-30 19:20:44,42.1584,-72.3287,62.6,48,75,25.32
125,Narsaq,GL,2021-04-30 19:13:40,60.9167,-46.05,57.2,24,40,28.77
126,Rawson,AR,2021-04-30 19:12:39,-43.3002,-65.1023,72.75,24,72,8.39
127,Lima,PE,2021-04-30 19:20:19,-12.0432,-77.0282,73.99,73,0,10.36
128,Avarua,CK,2021-04-30 19:16:43,-21.2078,-159.775,78.8,83,75,4.61
129,Shimoda,JP,2021-04-30 19:17:11,34.6667,138.95,59.0,65,0,1.99
130,Aktash,RU,2021-04-30 19:20:45,50.3,87.7333,36.3,93,77,3.33
131,Guerrero Negro,MX,2021-04-30 19:18:40,27.9769,-114.0611,82.6,31,0,10.98
132,Geraldton,AU,2021-04-30 19:18:16,-28.7667,114.6,51.8,71,96,9.22
133,Clemencia,CO,2021-04-30 19:20:45,10.5665,-75.325,84.2,79,40,9.22
134,Michigan City,US,2021-04-30 19:20:45,41.7075,-86.895,46.99,57,1,13.8
135,Tendukheda,IN,2021-04-30 19:20:46,23.4,79.55,91.6,11,4,3.33
136,Sindor,RU,2021-04-30 19:20:46,62.8629,51.8905,35.51,68,84,7.72
137,Tefe,BR,2021-04-30 19:20:46,-3.3542,-64.7114,78.8,89,40,4.61
138,Kavieng,PG,2021-04-30 19:18:27,-2.5744,150.7967,82.04,76,97,7.31
139,Jalu,LY,2021-04-30 19:13:49,29.0331,21.5482,91.4,10,0,10.6
140,Alugan,PH,2021-04-30 19:20:47,12.2188,125.4808,78.31,78,91,3.22
141,Nanortalik,GL,2021-04-30 19:19:17,60.1432,-45.2371,42.28,64,11,5.03
142,Qasigiannguit,GL,2021-04-30 19:20:47,68.8193,-51.1922,39.2,56,20,3.44
143,Khatanga,RU,2021-04-30 19:17:54,71.9667,102.5,29.64,95,99,8.34
144,Camacha,PT,2021-04-30 19:20:47,33.0833,-16.3333,62.6,63,40,13.8
145,Huarmey,PE,2021-04-30 19:17:16,-10.0681,-78.1522,72.86,73,10,10.25
146,Cockburn Town,TC,2021-04-30 19:17:30,21.4612,-71.1419,82.4,61,40,11.5
147,Solnechnyy,RU,2021-04-30 19:20:48,50.7214,136.6319,30.49,87,99,6.53
148,Spirit River,CA,2021-04-30 19:20:48,55.7833,-118.8361,62.01,38,0,27.63
149,Bowen,AU,2021-04-30 19:20:48,-20.0167,148.2333,64.4,94,80,6.91
150,Sarkand,KZ,2021-04-30 19:20:48,45.41,79.9186,60.35,69,99,18.41
151,Longyearbyen,SJ,2021-04-30 19:16:47,78.2186,15.6401,17.6,67,75,16.11
152,Camopi,GF,2021-04-30 19:20:49,3.1655,-52.3158,73.27,97,100,3.22
153,Hasaki,JP,2021-04-30 19:14:56,35.7333,140.8333,50.0,100,20,3.44
154,Longyan,CN,2021-04-30 19:20:49,25.1072,117.0225,65.66,62,66,2.15
155,Dzaoudzi,YT,2021-04-30 19:20:50,-12.7887,45.2699,80.6,83,20,5.75
156,Staryy Nadym,RU,2021-04-30 19:20:50,65.6118,72.6842,30.22,88,100,12.73
157,Saint Paul,US,2021-04-30 19:20:50,44.9444,-93.0933,59.0,28,1,3.44
158,Fez,MA,2021-04-30 19:20:51,34.0372,-4.9998,53.6,87,75,8.05
159,Leh,IN,2021-04-30 19:17:47,34.1667,77.5833,39.99,44,53,2.62
160,Panaba,MX,2021-04-30 19:20:51,21.2833,-88.2667,95.72,31,0,14.83
161,Dingle,PH,2021-04-30 19:18:28,10.9995,122.6711,75.81,70,100,5.06
162,Payakumbuh,ID,2021-04-30 19:20:51,-0.2202,100.6308,70.29,98,100,0.72
163,Kita,ML,2021-04-30 19:20:52,13.0349,-9.4895,99.39,17,68,4.63
164,Sur,OM,2021-04-30 19:16:55,22.5667,59.5289,85.24,39,44,9.89
165,Saldanha,ZA,2021-04-30 19:19:15,-33.0117,17.9442,57.2,67,0,10.36
166,Brae,GB,2021-04-30 19:17:13,60.3964,-1.353,39.2,87,40,6.91
167,Vostok,RU,2021-04-30 19:18:58,46.4856,135.8833,31.53,86,1,1.36
168,Inhambane,MZ,2021-04-30 19:17:21,-23.865,35.3833,77.0,88,20,4.61
169,Bodden Town,KY,2021-04-30 19:20:52,19.2833,-81.25,86.0,70,20,9.22
170,Cabedelo,BR,2021-04-30 19:20:52,-6.9811,-34.8339,82.4,74,20,14.97
171,Neyshabur,IR,2021-04-30 19:20:53,36.2133,58.7958,65.08,59,100,5.61
172,Bilma,NE,2021-04-30 19:16:47,18.6853,12.9164,91.38,4,0,7.45
173,Virginia Beach,US,2021-04-30 19:20:53,36.8529,-75.978,78.8,29,40,13.8
174,Bethel,US,2021-04-30 19:15:41,41.3712,-73.414,63.0,42,75,12.66
175,Cabo San Lucas,MX,2021-04-30 19:16:44,22.8909,-109.9124,87.01,34,1,11.5
176,Arman,RU,2021-04-30 19:20:54,59.7,150.1667,28.96,87,100,1.9
177,Krasnouralsk,RU,2021-04-30 19:20:54,58.3638,60.0407,32.9,62,13,3.96
178,Salalah,OM,2021-04-30 19:17:28,17.0151,54.0924,82.4,78,40,4.61
179,Erenhot,CN,2021-04-30 19:20:54,43.6475,111.9767,39.38,44,100,2.53
